"Metric","Miami","Ohio_State","Miami_Pctl","OSU_Pctl","Advantage"
"Offense_EPA_per_Play_season_avg",0.0858,0.202,69.1,91.3,"OHIO STATE"
"Defense_EPA_per_Play_season_avg",-0.0881,-0.1383,10,5.8,"OHIO STATE"
"Offense_EPA_per_Rush_season_avg",-0.0178,0.0331,41.8,57.9,"OHIO STATE"
"Defense_EPA_per_Rush_season_avg",0.0097,-0.1508,46.9,5.8,"OHIO STATE"
"Offense_Rush_Success_Rate_season_avg",0.4637,0.485,80.1,90.7,"OHIO STATE"
"Defense_Rush_Success_Rate_season_avg",0.3563,0.3316,11.6,4.8,"OHIO STATE"
"Offense_EPA_per_Pass_season_avg",0.2003,0.3982,82.3,96.1,"OHIO STATE"
"Defense_EPA_per_Pass_season_avg",-0.1752,-0.1373,10.3,13.2,"MIAMI"
"Offense_Pass_Success_Rate_season_avg",0.4899,0.5921,90,99.4,"OHIO STATE"
"Defense_Pass_Success_Rate_season_avg",0.3349,0.3613,8.7,17.4,"MIAMI"
"Offense_Explosive_Rate_season_avg",0.0671,0.0683,51.8,54.7,"OHIO STATE"
"Defense_Explosive_Rate_season_avg",0.0567,0.0402,20.6,2.6,"OHIO STATE"
"Offense_3rd_Down_Success_season_avg",0.4646,0.5557,84.9,99,"OHIO STATE"
"Defense_3rd_Down_Success_season_avg",0.3029,0.2856,8.4,5.5,"OHIO STATE"
"Offense_RedZone_EPA_season_avg",0.6333,0.947,68.8,86.2,"OHIO STATE"
"Defense_RedZone_EPA_season_avg",1.1172,-0.6542,92.3,5.8,"OHIO STATE"
"Offense_RedZone_TD_Rate_season_avg",0.2359,0.2987,38.6,60.8,"OHIO STATE"
"Defense_RedZone_TD_Rate_season_avg",0.4359,0.1859,92.9,29.6,"OHIO STATE"
"sack_pct_season_avg",0.1045,0.1099,96.8,97.4,"OHIO STATE"
"sack_pct_allowed_season_avg",0.0354,0.0267,59.8,53.7,"OHIO STATE"
"pressure_pct_season_avg",0.0944,0.0782,83.6,72.3,"MIAMI"
"pressure_pct_allowed_season_avg",0.0176,0.0429,42.4,57.6,"MIAMI"
"turnover_margin_season_avg",NA,NA,NA,NA,NA
"int_rate_offense_season_avg",0.0386,0.0225,90.4,73.3,"MIAMI"
"int_rate_defense_season_avg",0.0212,0.0219,69.5,72,"OHIO STATE"
"Offense_Standard_Down_EPA_season_avg",0.082,0.1267,72.7,87.1,"OHIO STATE"
"Offense_Passing_Down_EPA_season_avg",0.0515,0.2873,64.6,92,"OHIO STATE"
"Defense_Standard_Down_EPA_season_avg",-0.064,-0.0922,18,12.5,"OHIO STATE"
"Defense_Passing_Down_EPA_season_avg",-0.0986,-0.152,25.1,15.4,"OHIO STATE"
"Offense_Scoring_Drive_Pct_season_avg",0.4892,0.5832,80.7,97.1,"OHIO STATE"
"Defense_Scoring_Drive_Pct_season_avg",0.274,0.2918,5.8,7.7,"MIAMI"
"Offense_TD_Drive_Pct_season_avg",0.3628,0.4439,94.5,97.7,"OHIO STATE"
"Defense_TD_Drive_Pct_season_avg",0.1037,0.0583,28.6,1.3,"OHIO STATE"
"Offense_Stuff_Rate_season_avg",0.0665,0.0788,10.9,28.9,"MIAMI"
"Defense_Stuff_Rate_season_avg",0.1133,0.1011,85.2,69.8,"OHIO STATE"
"Offense_Yards_Per_Drive_season_avg",38.4651,45.0112,83.9,97.1,"OHIO STATE"
"Offense_Plays_Per_Drive_season_avg",5.9751,6.5766,77.2,96.5,"OHIO STATE"
"Defense_Yards_Per_Drive_Allowed_season_avg",27.8348,23.6535,14.5,2.9,"OHIO STATE"
"yards_per_play_season_avg",6.3015,6.8152,91,94.9,"OHIO STATE"
"yards_per_play_allowed_season_avg",4.4097,3.9158,61.7,58.2,"OHIO STATE"
"completion_pct_season_avg",0.731,0.7727,99.4,99.7,"OHIO STATE"
"points_per_play_season_avg",0.4874,0.5521,89.1,96.1,"OHIO STATE"
"points_per_play_allowed_season_avg",0.2032,0.1493,57.2,49.8,"OHIO STATE"
"Offense_1st_Down_Success_season_avg",0.4673,0.527,82.3,96.1,"OHIO STATE"
"Defense_1st_Down_Success_season_avg",0.3411,0.3731,5.8,16.7,"MIAMI"
"Offense_2nd_Down_Success_season_avg",0.4911,0.5249,88.7,97.1,"OHIO STATE"
"Defense_2nd_Down_Success_season_avg",0.3639,0.3449,22.8,12.2,"OHIO STATE"
