"field_zone","plays","epa_per_play","success_rate","explosive_rate","pass_rate","team"
"Midfield (41-60)",269,-0.133452120248801,0.438661710037175,0.070631970260223,0.423791821561338,"Miami"
"Opponent 21-40",283,-0.0787477506727104,0.413427561837456,0.0918727915194346,0.385159010600707,"Miami"
"Own 0-20 (Backed Up)",122,0.159222729613078,0.434426229508197,0.0655737704918033,0.39344262295082,"Miami"
"Own 21-40",298,0.0696586392923931,0.37248322147651,0.087248322147651,0.36241610738255,"Miami"
"Red Zone (Opp 0-20)",128,0.362811571299335,0.5234375,0.046875,0.21875,"Miami"
"Midfield (41-60)",211,0.0408416769697244,0.492890995260663,0.0900473933649289,0.407582938388626,"Ohio State"
"Opponent 21-40",214,0.0420754779975068,0.453271028037383,0.0700934579439252,0.392523364485981,"Ohio State"
"Own 0-20 (Backed Up)",172,0.231706361666103,0.441860465116279,0.0872093023255814,0.290697674418605,"Ohio State"
"Own 21-40",251,0.287265970768452,0.50996015936255,0.0876494023904383,0.442231075697211,"Ohio State"
"Red Zone (Opp 0-20)",149,0.0867455290550783,0.530201342281879,0.0469798657718121,0.342281879194631,"Ohio State"
