"situation","plays","epa_per_play","success_rate","pass_rate","rush_rate","explosive_rate","team"
"1st Down",484,0.0435849303205056,0.43801652892562,0.31198347107438,0.495867768595041,0.0764462809917355,"Miami"
"2nd & Long (7+)",173,0.162955427165745,0.38728323699422,0.572254335260116,0.335260115606936,0.069364161849711,"Miami"
"2nd & Medium (4-6)",92,-0.00470126153651026,0.478260869565217,0.402173913043478,0.402173913043478,0.0326086956521739,"Miami"
"2nd & Short (1-3)",56,0.0494742949030101,0.625,0.196428571428571,0.678571428571429,0.0357142857142857,"Miami"
"3rd & Long (7+)",81,-0.150592493945707,0.222222222222222,0.703703703703704,0.111111111111111,0.037037037037037,"Miami"
"3rd & Medium (4-6)",51,0.0272497232336647,0.431372549019608,0.588235294117647,0.196078431372549,0.0784313725490196,"Miami"
"3rd & Short (1-3)",62,0.00571858346505057,0.596774193548387,0.209677419354839,0.532258064516129,0.0161290322580645,"Miami"
"4th Down",101,-0.126055849675417,0.306930693069307,0.0891089108910891,0.0891089108910891,0.227722772277228,"Miami"
"1st Down",449,0.113536332529991,0.489977728285078,0.365256124721604,0.494432071269488,0.0712694877505568,"Ohio State"
"2nd & Long (7+)",155,0.278158571451579,0.393548387096774,0.432258064516129,0.419354838709677,0.0774193548387097,"Ohio State"
"2nd & Medium (4-6)",83,0.0902310570379108,0.602409638554217,0.421686746987952,0.506024096385542,0.036144578313253,"Ohio State"
"2nd & Short (1-3)",67,-0.152459223177223,0.611940298507463,0.313432835820896,0.582089552238806,0.0895522388059701,"Ohio State"
"3rd & Long (7+)",57,0.215620952933249,0.298245614035088,0.631578947368421,0.157894736842105,0.0701754385964912,"Ohio State"
"3rd & Medium (4-6)",50,0.295200814949056,0.48,0.7,0.1,0.02,"Ohio State"
"3rd & Short (1-3)",59,0.489137771996848,0.745762711864407,0.254237288135593,0.677966101694915,0.0338983050847458,"Ohio State"
"4th Down",77,-0.0619776940773929,0.350649350649351,0.116883116883117,0.103896103896104,0.233766233766234,"Ohio State"
